City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Swellendam,ZA,-34.02,20.44,55.4,87,99,4.7,light rain
277,Shimanovsk,RU,52.0,127.7,53.58,96,52,8.75,broken clouds
278,Artyom,AZ,40.47,50.33,75.2,78,30,6.93,scattered clouds
279,Tuatapere,NZ,-46.13,167.68,45.0,72,50,11.01,scattered clouds
280,Naze,JP,28.37,129.48,78.8,100,75,35.57,mist
281,Meulaboh,ID,4.14,96.13,78.08,82,100,4.81,heavy intensity rain
282,Guerrero Negro,MX,27.98,-114.06,85.3,50,0,6.82,clear sky
283,Toora-Khem,RU,52.47,96.11,35.87,86,15,1.19,few clouds
284,Zykovo,RU,55.95,93.15,37.4,93,0,2.24,clear sky
285,Nome,US,64.5,-165.41,37.4,93,40,6.93,scattered clouds
286,Mercedes,AR,-34.65,-59.43,64.0,48,0,5.01,clear sky
287,Antofagasta,CL,-23.65,-70.4,59.0,67,20,16.11,few clouds
288,Chilliwack,CA,49.17,-121.94,63.0,83,66,1.01,broken clouds
289,Saravena,CO,6.95,-71.88,86.74,64,39,4.38,scattered clouds
290,Diego De Almagro,CL,-26.37,-70.05,79.79,15,90,10.42,overcast clouds
291,Ancud,CL,-41.87,-73.82,51.89,64,79,5.35,broken clouds
292,Senador Jose Porfirio,BR,-2.59,-51.95,96.4,34,37,1.12,scattered clouds
293,Black Forest,US,39.01,-104.7,84.99,18,1,10.29,clear sky
294,Mago,RU,53.25,140.18,55.67,95,10,1.43,clear sky
295,Half Moon Bay,US,37.46,-122.43,78.01,64,40,4.83,scattered clouds
296,Bonthe,SL,7.53,-12.51,79.11,80,75,10.22,broken clouds
297,Santiago De Cao,PE,-7.96,-79.24,64.53,73,24,12.53,few clouds
298,Klaksvik,FO,62.23,-6.59,46.4,87,98,19.46,overcast clouds
299,Varhaug,NO,58.61,5.65,52.0,99,32,10.0,scattered clouds
300,San Ramon,US,37.78,-121.98,87.01,31,1,4.7,clear sky
301,Fairbanks,US,64.84,-147.72,44.6,100,90,5.82,light rain
302,Atar,MR,20.52,-13.05,102.96,22,61,2.95,broken clouds
303,Khabary,RU,53.63,79.53,42.85,89,41,6.26,scattered clouds
304,Khatanga,RU,71.97,102.5,36.52,82,81,8.23,broken clouds
305,Alekseyevsk,RU,57.84,108.35,54.68,78,36,0.85,scattered clouds
306,Asyut,EG,27.18,31.18,93.4,26,2,9.86,light rain
307,Abha,SA,18.22,42.51,80.6,52,20,9.17,few clouds
308,Bilma,NE,18.69,12.92,101.88,14,64,3.56,broken clouds
309,Victoria,HK,22.29,114.16,82.0,78,19,6.02,few clouds
310,San Juan Tecuaco,GT,14.08,-90.26,89.6,57,20,13.87,few clouds
311,Egvekinot,RU,66.32,-179.17,36.52,83,72,2.42,broken clouds
312,Korla,CN,41.76,86.15,71.65,22,0,2.06,clear sky
313,Rio Grande,BR,-32.03,-52.1,57.0,87,100,4.0,overcast clouds
314,Ambon,ID,-3.7,128.18,77.0,94,40,4.7,light rain
315,Truth Or Consequences,US,33.13,-107.25,88.0,27,1,6.64,clear sky
316,Pahrump,US,36.21,-115.98,100.99,13,0,1.01,clear sky
317,Zelenogorskiy,RU,55.03,87.0,46.4,87,75,8.95,broken clouds
318,Hamilton,US,39.18,-84.53,81.0,41,1,9.17,clear sky
319,Nanortalik,GL,60.14,-45.24,48.56,89,96,11.25,overcast clouds
320,West Wendover,US,40.74,-114.07,78.8,19,1,5.82,clear sky
321,Kaoma,ZM,-14.78,24.8,67.03,26,0,5.88,clear sky
322,Dikson,RU,73.51,80.55,41.92,89,13,18.86,few clouds
323,Nouadhibou,MR,20.93,-17.03,84.2,54,52,13.87,broken clouds
324,Mount Isa,AU,-20.73,139.5,73.4,20,0,11.41,clear sky
325,Vanimo,PG,-2.67,141.3,76.1,82,80,5.06,broken clouds
326,La Palma,US,33.85,-118.05,91.0,45,1,4.7,clear sky
